video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=uy9THx_o3d8&pp=ygUPcHVibGljIGZyZWFrb3V0,/@PublicFreakout,Public Freakouts Unleashed,THE *ULTIMATE* Top 25 Public Freakouts of 2023!,觀看次數：26萬次,1 個月前,Subscribe to Public Freakouts Unleashed here: ➡️ https://www.youtube.com/user/iLikeAmazingMusic?sub_confirmation=1,2024-01-31 06:17:48.589864
/watch?v=QO36cpendLk&pp=ygUPcHVibGljIGZyZWFrb3V0,/@PublicFreakout,Public Freakouts Unleashed,Troublemakers Getting OWNED & ARRESTED By Police,觀看次數：4.3萬次,7 天前,Subscribe to Public Freakout here: ➡️ https://www.youtube.com/user/iLikeAmazingMusic?sub_confirmation=1. Click HERE to ...,2024-01-31 06:17:48.591929
/watch?v=XJVuYmocQlk&pp=ygUPcHVibGljIGZyZWFrb3V0,/@PublicFreakout,Public Freakouts Unleashed,Police Officer Puts Road Rage KAREN In Her Place..,觀看次數：12萬次,12 天前,Subscribe to Public Freakout here: ➡️ https://www.youtube.com/user/iLikeAmazingMusic?sub_confirmation=1. Click HERE to ...,2024-01-31 06:17:48.595451
/watch?v=0ioxYMvvRZM&pp=ygUPcHVibGljIGZyZWFrb3V0,/@PublicFreakout,Public Freakouts Unleashed,These HOA Karens Are Terrorizing Their Tenants | Best Freakouts,觀看次數：28萬次,4 個月前,Subscribe to Public Freakout here: ➡️ https://www.youtube.com/user/iLikeAmazingMusic?sub_confirmation=1. Enjoy yourself ...,2024-01-31 06:17:48.599949
/watch?v=BNyWZ5ApIjg&pp=ygUPcHVibGljIGZyZWFrb3V0,/@fantasticfreakouts,Fantastic Freakouts,When Karens ACTUALLY Mess With The Wrong Employee.. (INSTANT KARMA),觀看次數：10萬次,11 天前,"(INSTANT KARMA) In this video you will see Karen public freakout moments, karen gets owned, karen videos, karen gets owned ...",2024-01-31 06:17:48.603101
/watch?v=J4WIMUzlBxE&pp=ygUPcHVibGljIGZyZWFrb3V0,/@publicfreakoutvideos,Public Freakout Videos,When Karens Mess With The Wrong People..,觀看次數：4.2萬次,2 個月前,"When Karens Mess With The Wrong People.. karen public freakout moments, karen gets owned, karen videos, karen gets owned ...",2024-01-31 06:17:48.605753
/watch?v=Dy0fGgHSGs8&pp=ygUPcHVibGljIGZyZWFrb3V0,/@publicfreakoutvideos,Public Freakout Videos,When Karens Mess With The WRONG People.. #5,觀看次數：6.5萬次,9 天前,When Karens Mess With The WRONG People.. #5 Subscribe for more videos to see Karens Who Got What They Really ...,2024-01-31 06:17:48.607594
/watch?v=dLkHlEEHfCo&pp=ygUPcHVibGljIGZyZWFrb3V0,/@PublicFreakout,Public Freakouts Unleashed,Apartment Karen Gets CRAZY When Her Scheme Fails...,觀看次數：7.6萬次,2 週前,Subscribe to Public Freakout here: ➡️ https://www.youtube.com/user/iLikeAmazingMusic?sub_confirmation=1. Click HERE to ...,2024-01-31 06:17:48.610791
/watch?v=4niBsDu_kyE&pp=ygUPcHVibGljIGZyZWFrb3V0,/@PublicFreakout,Public Freakouts Unleashed,Tiktoker Goes On The Scariest First Date Ever.. | Best Freakouts,觀看次數：3.1萬次,4 天前,Subscribe to Public Freakout here: ➡️ https://www.youtube.com/user/iLikeAmazingMusic?sub_confirmation=1. Click HERE to ...,2024-01-31 06:17:48.613277
/watch?v=kCFUUxz99PE&pp=ygUPcHVibGljIGZyZWFrb3V0,/@freakingout9533,freaking out,Public Freakout Compilation #141,觀看次數：1.4萬次,5 個月前,public #publicfreakoutcompilation She left quick after her final remark. Kudos to the guy standing up for the employees Woman ...,2024-01-31 06:17:48.619294
/watch?v=Sge3ZwuPRNU&pp=ygUPcHVibGljIGZyZWFrb3V0,/@dontregretforget,"Don't regret, forget!",Crazy Drunk KARENS Harassing The Neighborhood Playing Victim In Public Freakouts And INSTANT KARMA,觀看次數：48次,2 天前,Crazy Drunk KARENS Harassing The Neighborhood Playing Victim In Public Freakouts And INSTANT KARMA +18 KAREN ...,2024-01-31 06:17:48.622174
/watch?v=7bOu9d1R7_o&pp=ygUPcHVibGljIGZyZWFrb3V0,/@PublicFreakout,Public Freakouts Unleashed,BALLISTIC Walmart Pastor Leaves Shoppers Stunned.. | Best Freakouts,觀看次數：26萬次,2 個月前,Subscribe to Public Freakout here: ➡️ https://www.youtube.com/user/iLikeAmazingMusic?sub_confirmation=1. Click HERE to ...,2024-01-31 06:17:48.625912
/watch?v=Dxocmrfh2c0&pp=ygUPcHVibGljIGZyZWFrb3V0,/@publicfreakoutvideos,Public Freakout Videos,When Karens Mess With The WRONG People.. #4,觀看次數：8.1萬次,2 週前,When Karens Mess With The WRONG People.. #4 Subscribe for more videos to see Karens Who Got What They Really ...,2024-01-31 06:17:48.628587
/watch?v=U4KEs6tsyvs&pp=ygUPcHVibGljIGZyZWFrb3V0,/@publicfreakoutvideos,Public Freakout Videos,When Karens Mess With The WRONG People..,觀看次數：8.7萬次,3 週前,"When Karens Mess With The WRONG People.. Subscribe for more videos to see Karens Who Got What They Really DESERVED, ...",2024-01-31 06:17:48.631429
/watch?v=MUJsakqdwsM&pp=ygUPcHVibGljIGZyZWFrb3V0,/@publicfreakoutvideos,Public Freakout Videos,When Karens Mess With The WRONG People.. #2,觀看次數：14萬次,3 週前,When Karens Mess With The WRONG People.. #2 Subscribe for more videos to see Karens Who Got What They Really ...,2024-01-31 06:17:48.634619
/watch?v=UgwKMKBtbJw&pp=ygUPcHVibGljIGZyZWFrb3V0,/@PublicFreakout,Public Freakouts Unleashed,Another Karen Joins The No-Fly List... | Best Freakouts,觀看次數：22萬次,1 個月前,Subscribe to Public Freakout here: ➡️ https://www.youtube.com/user/iLikeAmazingMusic?sub_confirmation=1. Click HERE to ...,2024-01-31 06:17:48.638185
/watch?v=pRSdnQR5p7c&pp=ygUPcHVibGljIGZyZWFrb3V0,/@freakingout9533,freaking out,Public Freakout Compilation #183,觀看次數：227次,9 天前,"public #publicfreakoutcompilation Met officer charged, assaulted and wrongly arrested woman over 'bus fare evasion' in front of ...",2024-01-31 06:17:48.640844
/watch?v=kwa_vCfSZPw&pp=ygUPcHVibGljIGZyZWFrb3V0,/@PublicFreakout,Public Freakouts Unleashed,When Trying To Start a Fight BACKFIRES | Best Freakouts,觀看次數：21萬次,1 個月前,Subscribe to Public Freakout here: ➡️ https://www.youtube.com/user/iLikeAmazingMusic?sub_confirmation=1. Click HERE to ...,2024-01-31 06:17:48.643401
/watch?v=eKDCFDAMQ-k&pp=ygUPcHVibGljIGZyZWFrb3V0,/@PublicFreakout,Public Freakouts Unleashed,25 CRAZY Public Freakouts & Karen Attacks!,觀看次數：15萬次,3 個月前,Subscribe to Public Freakout here: ➡️ https://www.youtube.com/user/iLikeAmazingMusic?sub_confirmation=1. Click HERE to ...,2024-01-31 06:17:48.646502
/watch?v=iUCAV39xENk&pp=ygUPcHVibGljIGZyZWFrb3V0,/@KarmaKaren,Karma,When Dumb Karens Try To Attack People,觀看次數：3495次,14 小時前,"In this video you will see Karen public freakout moments, karen gets owned, karen videos, karen gets owned by police, karen gets ...",2024-01-31 06:17:56.385650
/watch?v=GLOupYHIxOY&pp=ygUPcHVibGljIGZyZWFrb3V0,/@innoparticularorder3181,In No Particular Order,A Good Old Fashioned Public Freakouts Compilation! #9,觀看次數：5560次,8 天前,"Just A Good Old Fashioned Public Freakouts Top 10, In No Particular Order. ==================== Copyright Disclaimer ...",2024-01-31 06:17:56.389128
/watch?v=lEZrSFG3syU&pp=ygUPcHVibGljIGZyZWFrb3V0,/@publicfreakoutvideos,Public Freakout Videos,18 Minutes Of Karens Messing With The Wrong People..,觀看次數：7.9萬次,1 個月前,18 Minutes Of Karens Messing With The Wrong People.. Subscribe for more videos to see Karens Who Got What They Really ...,2024-01-31 06:17:56.392111
/watch?v=ovwb2l73mk8&pp=ygUPcHVibGljIGZyZWFrb3V0,/@iamgabesanchez,Gabe Sanchez,Trump lawyer has public FREAK OUT after $83.3 MILLION verdict,觀看次數：6134次,6 小時前,"On this episode of ""What Was That?"", I break down how Alina Habba is not only Donald Trump's most expensive lawyer but also ...",2024-01-31 06:17:56.394808
