video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=dnpMqQnt8WY&pp=ygUQY3VzdG9tZXIgc2VydmljZQ%3D%3D,/@engvidEmma,English with Emma · engVid,How to give great customer service: The L.A.S.T. method,觀看次數：208萬次,7 年前,"Do you work in customer service? What do you do when your customer has a problem? In this video, I will teach you how to give ...",2024-01-31 06:04:07.397235
/watch?v=6D4mGSvEe4I&pp=ygUQY3VzdG9tZXIgc2VydmljZQ%3D%3D,/@AwkwardPuppets,Awkward Puppets,Customer Service | Awkward Puppets,觀看次數：527萬次,7 年前,#Puppets #AwkwardPuppets #Diego #RudyMancuso.,2024-01-31 06:04:07.401675
/watch?v=YBxKyn07C98&pp=ygUQY3VzdG9tZXIgc2VydmljZQ%3D%3D,/@ClickForMoreTaz,ClickForMoreTaz,"chill home vlog | chicken stew, laundry and terrible customer service",觀看次數：9888次,12 小時前,Donation links to support Gaza below: - Unicef ...,2024-01-31 06:04:07.403566
/watch?v=tlNK3eJvsz0&pp=ygUQY3VzdG9tZXIgc2VydmljZQ%3D%3D,/@brighterside6280,BRIGHTER SIDE,customer service training,觀看次數：30萬次,3 年前,Chat etiquette plays a huge role in customer service. Professional and authentic interaction with clients goes far beyond the ...,2024-01-31 06:04:07.405416
/watch?v=kh0VSQIeDdA&pp=ygUQY3VzdG9tZXIgc2VydmljZQ%3D%3D,/@Matt_Rose,Matt Rose,Customer Service Brainrot,觀看次數：47萬次,2 週前,Genuinely had to leave my mic in rice to dry after this.,2024-01-31 06:04:07.407229
/watch?v=sfaBf3EYYIw&pp=ygUQY3VzdG9tZXIgc2VydmljZQ%3D%3D,/@SaturdayNightLive,Saturday Night Live,Customer Service - SNL,觀看次數：1078萬次,6 年前,A call center employee (Kumail Nanjiani) forms a bond with a surprising woman (Cecily Strong). #SNL #SNL43 Subscribe to SNL: ...,2024-01-31 06:04:07.411342
/watch?v=FngUecbBPjw&pp=ygUQY3VzdG9tZXIgc2VydmljZQ%3D%3D,/@sugarpit6920,Sugar Pit,Sugar Pit - Customer Service (Official Vid),觀看次數：4.2萬次,8 個月前,Video produced by Medium Luck // Co-directed by Tim Waldron + Chris Moon.,2024-01-31 06:04:07.413598
/watch?v=LRJXMKZ4wOw&pp=ygUQY3VzdG9tZXIgc2VydmljZQ%3D%3D,/@derekcallan-englishforpros,Derek Callan - English for Professionals,36 English Phrases For Professional Customer Service,觀看次數：22萬次,1 年前,Learn how to speak professional English on the phone with 36 great phrases for professional customer service. The lesson ...,2024-01-31 06:04:07.416884
/watch?v=GelcMNgzi0o&pp=ygUQY3VzdG9tZXIgc2VydmljZQ%3D%3D,/@AwkwardPuppets,Awkward Puppets,Customer Service (Ep.5) | Awkward Puppets,觀看次數：273萬次,2 年前,#Puppets #AwkwardPuppets #Diego #RudyMancuso.,2024-01-31 06:04:07.419382
/watch?v=Zy1h49_L8ME&pp=ygUQY3VzdG9tZXIgc2VydmljZQ%3D%3D,/@odysseytraining,Odyssey Training,Poor vs Great Customer Service,觀看次數：50萬次,5 年前,If your staff members do not embody your brand and represent a high level of customer service - how will this impact your ...,2024-01-31 06:04:07.421813
/watch?v=S_e1j54TRns&pp=ygUQY3VzdG9tZXIgc2VydmljZQ%3D%3D,/@Canity,Canity,Good Customer Service - Let Customers Know You Appreciate Them.,觀看次數：24萬次,7 年前,How do you react when a customer provides a compliment? Spoiler alert: shuffling your feet awkwardly and ignoring them is NOT ...,2024-01-31 06:04:07.424035
/watch?v=tn0veQ7_stI&pp=ygUQY3VzdG9tZXIgc2VydmljZQ%3D%3D,/@TheDavidBrownlee,David Brownlee,What is customer service ? The 7 Essentials To Excellent Customer Service,觀看次數：127萬次,10 年前,"In this YouTube Video, learn ""What is customer service? The 7 Essentials To Excellent Customer Service"" in this complimentary ...",2024-01-31 06:04:07.427054
/watch?v=IqeFaKIt0dg&pp=ygUQY3VzdG9tZXIgc2VydmljZQ%3D%3D,/@Saruky,Saruky,Customer Service (Full OST) - FNF: Hotline 024 (The Medley Update),觀看次數：50萬次,1 年前,Here you go! :D https://gamebanana.com/mods/373298.,2024-01-31 06:04:07.429178
/watch?v=IBb6I6ANf4c&pp=ygUQY3VzdG9tZXIgc2VydmljZQ%3D%3D,/@YourEmploymentSolutions,Your Employment Solutions,What is Customer Service?,觀看次數：28萬次,8 年前,Customer service is the backbone of Your Employment Solutions. But how do we define what customer service is? And what's the ...,2024-01-31 06:04:07.432521
/watch?v=Em7NPWmyw6w&pp=ygUQY3VzdG9tZXIgc2VydmljZQ%3D%3D,/@SimonSinek,Simon Sinek,The SERVICE in Customer Service | Simon Sinek,觀看次數：12萬次,2 年前,"Customer service isn't about the customer always being right, it's about the customer feeling heard. If we truly serve our customers ...",2024-01-31 06:04:07.435008
/watch?v=uaQkJjyNJj0&pp=ygUQY3VzdG9tZXIgc2VydmljZQ%3D%3D,/@abetteranswer3539,A Better Answer,8 Customer Serivce Skills Every Employee Should Know,觀看次數：7.9萬次,4 年前,"How you deal with customers can make or break your business. You can't always control what happens, but you can control how ...",2024-01-31 06:04:07.437395
/watch?v=DUhKiW0bPlU&pp=ygUQY3VzdG9tZXIgc2VydmljZQ%3D%3D,/@customerservice4301,Customer Service,"Customer Service - ""Grad Day"" (Official Music Video)",觀看次數：2685次,11 天前,"""Grad Day"" instagram.com/customerservice.ca Lyrics: it's sad that i don't even know what i'm upset about but i know you know that ...",2024-01-31 06:04:07.439674
/watch?v=Eq7Z2i7m57Y&pp=ygUQY3VzdG9tZXIgc2VydmljZQ%3D%3D,/@Indeed,Indeed,6 Tips For Improving Your Customer Service Skills | Indeed Career Tips,觀看次數：5.9萬次,1 年前,Looking to advance your career? Let our original Courses by Indeed series be your go-to guide for developing work-related skills ...,2024-01-31 06:04:07.443273
/watch?v=GH1TXfQSwUQ&pp=ygUQY3VzdG9tZXIgc2VydmljZQ%3D%3D,/@TEDx,TEDx Talks,"I Was Seduced By Exceptional Customer Service | John Boccuzzi, Jr. | TEDxBryantU",觀看次數：61萬次,5 年前,"Boccuzzi Jr. discusses why customer service, as opposed to traditional marketing strategies, has the potential to be the greatest ...",2024-01-31 06:04:07.447041
/watch?v=ePn5x4NI6Zc&pp=ygUQY3VzdG9tZXIgc2VydmljZQ%3D%3D,/@KnowsieRosie,Knowsie Rosie,"I tested ""FAMOUS YOUTUBERS"" customer service merch!!!",觀看次數：19次,18 小時前,They have excellent videos. they have great products but how about their customer service??? Special thanks to the following ...,2024-01-31 06:04:15.023587
